id,title,format,medium,notes,source,catalogueId,catalogueCallNumber,catalogueName,artistId,originalArtistId,artistFirstName,artistLastName,originalArtistLastName,artistGender,artistThumbnailFile,exhibitionId,exhibitionName,exhibitionPlace,exhibitionYear,originalExhibitionYear,mediumFormat,originalMediumFormat,price
10077,Portrait [by] Mrs G.H.Halligan,Painting,Oil,,ANG authority file,54,ML FM4/8446,"Catalogue of exhibits in the Fourteenth Annual Exhibition of the Royal Art Society of New South Wales, 1893",619,619,Harriet Victoria,Piguenit,Piguenit,female,,13,"Royal Art Society of New South Wales Annual Exhibition. 14th, 1893",,1893,1893,Oil Painting,Oil Painting,
5972,Portrait after Guido,Painting,Oil,,None given,43,ML 606/N,"Catalogue of the Intercolonial Exhibition, 1877. Brisbane, n.d.",2912,,,Unknown,,,,34,"Intercolonial Exhibition, Brisbane, 1877","Rockhampton, Qld",1877,1877,Oil Painting,Oil Painting,
2020,Portrait after Pompeo Battoni,Painting,Watercolour,Unfinished,"Dictionary of Australian Artists, 1992",23,ML 706/V,"Catalogue of the first exhibition of the Victorian Society of Fine Arts, 1857",2527,2527,Georgiana Huntly,McCrae,McCrae,female,,35,"Exhibition of the Victorian Society of Fine Arts, 1857",,1857,1857,Watercolour Painting,Watercolour Painting,
13735,Portrait and Landscape Photographs,Photograph,,,None given,120,ML 606/N,"Catalogue of exhibits in the New Zealand Court of the International Exhibition, 1880-81, Melbourne",2912,,,Unknown,,,,57,"Melbourne International Exhibition, New Zealand Court",,1880,1880-1881,Photograph,Photograph,
1338,Portrait Bust,Sculpture,,,Indexer's Authority File,10,ML Ref 606/M,"Official record â€¦ [of the] Intercolonial Exhibition of Australasia, Melbourne, 1866-67",72,72,Thomas W,Nutt,Nutt,male,,3,"Intercolonial Exhibition of Australasia, Melbourne, 1866-67",,1866,1866-67,Sculpture,Sculpture,
18547,Portrait Bust,Modelling,,,"McCulloch, Encyclopedia of Australian Art, 1994",135,Pam Q708.9946/ART ML 706/A,,2772,2772,Benjamin,Sheppard,Sheppard,male,,55,"Annual exhibition of the Art Society of Tasmania, 1900","Hobart, Tasmania",1885,1885-1900,Modelling,Modelling,
12587,Portrait Bust,Sculpture,,,"McCulloch, Encyclopedia of Australian Art, 1994",78,DL 86/730 Pam,Melbourne Ladies Benevolent Society. Catalogue of the exhibition of art treasures.,300,300,Charles,Summers,Summers,male,300.jpg,64,"Exhibition of art treasures of Victoria, in aid of the Melbourne Ladies Benevolent Society, 1861",,1861,1861,Sculpture,Sculpture,
12588,Portrait Bust,Sculpture,,,"McCulloch, Encyclopedia of Australian Art, 1994",78,DL 86/730 Pam,Melbourne Ladies Benevolent Society. Catalogue of the exhibition of art treasures.,300,300,Charles,Summers,Summers,male,300.jpg,64,"Exhibition of art treasures of Victoria, in aid of the Melbourne Ladies Benevolent Society, 1861",,1861,1861,Sculpture,Sculpture,
12589,Portrait Bust,Sculpture,,,"McCulloch, Encyclopedia of Australian Art, 1994",78,DL 86/730 Pam,Melbourne Ladies Benevolent Society. Catalogue of the exhibition of art treasures.,300,300,Charles,Summers,Summers,male,300.jpg,64,"Exhibition of art treasures of Victoria, in aid of the Melbourne Ladies Benevolent Society, 1861",,1861,1861,Sculpture,Sculpture,
12590,Portrait Bust,Sculpture,,,"McCulloch, Encyclopedia of Australian Art, 1994",78,DL 86/730 Pam,Melbourne Ladies Benevolent Society. Catalogue of the exhibition of art treasures.,300,300,Charles,Summers,Summers,male,300.jpg,64,"Exhibition of art treasures of Victoria, in aid of the Melbourne Ladies Benevolent Society, 1861",,1861,1861,Sculpture,Sculpture,
14736,Portrait Bust,Sculpture,,Bust  Portrait,"McCulloch, Encyclopedia of Australian Art, 1994",82,DL 86/746 Pam,"Victorian Exhibition of Fine Arts, 1861. Catalogue",2828,2828,Charles Francis,Summers,Summers,male,,59,"Victorian Exhibition of Fine Arts, 1861",,1861,1861,Sculpture,Sculpture,
15547,Portrait Bust,Sculpture,,,"McCulloch, Encyclopedia of Australian Art, 1994",101,DL 86/747 Pam,"Annual Exhibition of Fine Arts, Melbourne, 1862. Catalogue",392,392,Miss Margaret,Thomas,Thomas,female,392.jpg,66,"Annual Exhibition of Fine Arts, Melbourne, 1862","Victoria Street, Richmond",1862,1862,Sculpture,Sculpture,
11317,"Portrait Bust from Life of The Honorable Jacob Garrard, M.L.A., etc.",Sculpture,,,Indexer's Authority File,64,ML FM4/8446,"Catalogue of exhibits in the Eighteenth Annual Exhibition of the Royal Art Society of New South Wales, 1897, Sydney",751,751,Gregory,Macintosh,Macintosh,male,,26,"Royal Art Society of New South Wales Annual Exhibition. 18th, 1888",,1897,1897,Sculpture,Sculpture,
16030,"PORTRAIT Bust in plaster,of Mr.John Dillon M.P.",Sculpture,,,None given,71,ML 606/N,"Catalogue of the New South Wales Courts of the World's Columbian Exposition, Chicago, 1893",2912,2912,,Unknown,Unknown,,,1,"World's Columbian Exposition, Chicago, 1893. New South Wales Courts","223 Elizabeth street ,Sydney.",1893,1893,Sculpture,Sculpture,
3270,Portrait Bust of a Girl,Sculpture,,,"McCulloch, Encyclopedia of Australian Art, 1994",31,ML 708.29/V,"Catalogue of the first Exhibition of the Victorian Academy of Arts, 1870",1352,1352,John Simpson,Mackennal,Mackennal,male,,31,"Exhibition of the Victorian Academy of Arts, 1870",,1870,1870,Sculpture,Sculpture,
11880,Portrait Bust of A.R.Goring-Thomas,Sculpture,,,"McCulloch, Encyclopedia of Australian Art, 1994",66,ML FM4/8446,"Catalogue of exhibits in the Twentieth Annual Exhibition of the Royal Art Society of New South Wales, 1899, Sydney",2391,2391,Nelson,Illingworth,Illingworth,male,,20,"Royal Art Society of New South Wales Annual Exhibition. 20th, 1899",,1899,1899,Sculpture,Sculpture,
11897,"Portrait Bust of Dr.R.N.Morris, Superintendent of Technical Education",Sculpture,,,ANG authority file,66,ML FM4/8446,"Catalogue of exhibits in the Twentieth Annual Exhibition of the Royal Art Society of New South Wales, 1899, Sydney",751,751,Gregory,Macintosh,Macintosh,male,,20,"Royal Art Society of New South Wales Annual Exhibition. 20th, 1899",,1899,1899,Sculpture,Sculpture,
16029,"PORTRAIT Bust, in plaster,of Madame Sara Bernhardt.",Sculpture,,,None given,71,ML 606/N,"Catalogue of the New South Wales Courts of the World's Columbian Exposition, Chicago, 1893",2912,2912,,Unknown,Unknown,,,1,"World's Columbian Exposition, Chicago, 1893. New South Wales Courts","223, Elizabeth-street, Sydney.",1893,1893,Sculpture,Sculpture,
