id,firstName,lastName,worksTotal,gender,image,imageUrl,wikipediaUrl,notes,thumbnailFile,wikiDataId
30,Thomas,Woolner,31,male,,https://upload.wikimedia.org/wikipedia/commons/a/a1/Woolner-rossetti.jpg,,,,
2272,John,Glover,31,male,,https://upload.wikimedia.org/wikipedia/commons/4/44/John_Glover%2C_attributed_to_John_Glover.jpg,,,,
1033,James,Curtis,30,male,,,,,,
1833,James,Robertson,30,male,,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NSC/SHMA/NSC_SHMA_ART_1993_290-001.jpg,,?,,
555,R A,Ekman,30,,,https://upload.wikimedia.org/wikipedia/commons/1/17/Portrait_photograph_of_Robert_Wilhelm_Ekman.jpg,,? R W ,,
2000,John,Carter,29,male,,https://upload.wikimedia.org/wikipedia/commons/c/cd/John_Carter%2C_mouth_artist.jpg,,,,
708,Alfred E,Starkey,29,male,,,,,,
1845,,N.S.W. Government Printer,29,,,,,,,
1719,,Turner & Henderson,28,,,,,,,
110,John,Gully,28,male,,http://www.theprow.org.nz/assets/arts/Gully-John.1138.jpg,,,,
675,Miss Annie E,Potter,27,female,,,,,,
1068,Chester,Earles,26,male,,http://images.ntpl.org.uk/hppa-zooms/00000000630/cms_102607.bro,,,,
1974,Arthur James Wetherall,Burgess,26,male,,,,,,
213,Thomas,Clark,26,male,,,,,,
787,F.E.  (Mrs Alfred),Williams,26,female,,,,https://www.afr.com/life-and-luxury/arts-and-culture/florence-williams-painting-reaps-surprise-90000-20151125-gl7aqs,,
1977,Henry,Burn,26,male,,,,,,
2936,Frederick Matthews,Wiliams,26,male,,,,,,
2832,Jane,Sutherland,26,female,,https://upload.wikimedia.org/wikipedia/commons/d/d8/Jane_Sutherland.jpg,,,,
1955,Edward Baker,Boulton,26,male,,,,,,
591,J A,Robertson,25,,,,,,,
2714,Richard Godfrey,Rivers,24,male,,https://upload.wikimedia.org/wikipedia/commons/8/84/Web_UQFL119_b8f8_11.jpg,,,,
2748,H G H,Sandeman,24,,,,,,,
1341,Andrew,MacCormac,24,male,,,,,,
2265,,George B.D. Kitch & Co.,24,male,,,,,,
2828,Charles Francis,Summers,24,male,,https://upload.wikimedia.org/wikipedia/commons/b/b0/Charles_Summers_%281825-1878%29.jpg,,,,
101,Frederick William,Woodhouse,23,male,,,,,,
253,Gordon G M,Cansdell,23,male,,,,,,
2072,Alexander,Colquhoun,23,male,,https://media.mutualart.com/Images/2018_03/06/21/215127947/7c8f6fc9-9896-4ac3-96d0-178021bb9720_570.Jpeg,,,,
2330,Conway Weston,Hart,23,male,,,,,,
1215,Lucien Felix,Henry,23,male,,https://maitron.fr/local/cache-vignettes/L410xH550/henrylucien-d5d4b.jpg?1596620296,,,,
2787,George Penkivil,Slade,23,male,,,,,,
